omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix, sum_F
241.406593, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 1012.792466, 2320.412539
241.406593, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 1250.438457, 3000.924752
241.406593, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 1488.084447, 3681.436964
241.406593, 99.468970, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 1725.730437, 4361.949176
241.406593, 113.678823, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 1963.376428, 5042.461389
241.406593, 127.888676, 0.005000, 0.012234, 1.679313, 352.793010, 645.753065, 147.383800, 2201.022418, 5722.973601
241.406593, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 2426.083203, 5131.463617
241.406593, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 2663.729193, 5728.657196
241.406593, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 2901.375183, 6325.850774
241.406593, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 3139.021174, 6923.044353
241.406593, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 3376.667164, 7520.237931
241.406593, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 3614.313154, 8117.431510
241.406593, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 3851.959145, 8714.625088
241.406593, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 4089.605135, 9311.818667
241.406593, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 4327.251125, 9909.012245
241.406593, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 645.753065, 134.277919, 4564.897116, 10506.205824
248.020473, 0.000000, 0.002412, 0.010191, 2.491656, 325.599529, 471.024132, 140.228311, 55.337292, -0.010279
248.020473, 14.209853, 0.003232, 0.010813, 2.184729, 334.219961, 671.923473, 142.405445, 295.073922, 0.004249
248.020473, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 537.500486, 836.731293
248.020473, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 775.146476, 1517.243506
248.020473, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 1012.792466, 2197.755718
248.020473, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 1250.438457, 2878.267930
248.020473, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 1488.084447, 3558.780143
248.020473, 99.468970, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 1725.730437, 4239.292355
248.020473, 113.678823, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 1963.376428, 4919.804568
248.020473, 127.888676, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 2201.022418, 5600.316780
248.020473, 142.098529, 0.005000, 0.012234, 1.679313, 352.793010, 681.621503, 147.383800, 2438.668408, 6280.828992
