omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix
241.406593, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 6703.711029
241.406593, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 6941.357019
241.406593, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 7179.003010
241.406593, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 7416.649000
241.406593, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 7654.294990
241.406593, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 7891.940981
241.406593, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 8129.586971
241.406593, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 8367.232961
241.406593, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 8604.878952
241.406593, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 8842.524942
241.406593, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 4579.815592, 134.277919, 9080.170932
248.020473, 269.987204, 0.007445, 0.014404, 1.192696, 378.487617, 4834.202047, 154.984317, 4584.780881
248.020473, 284.197057, 0.006495, 0.013531, 1.360583, 368.505937, 4834.202047, 151.926751, 4819.490778
248.020473, 298.406910, 0.005573, 0.012721, 1.547887, 358.816328, 4834.202047, 149.087727, 5054.410535
248.020473, 312.616763, 0.004679, 0.011967, 1.758815, 349.421583, 4834.202047, 146.449709, 5289.523310
248.020473, 326.826616, 0.003813, 0.011267, 1.998786, 340.321753, 4834.202047, 143.996551, 5524.813603
248.020473, 341.036469, 0.002975, 0.010615, 2.274913, 331.514711, 4834.202047, 141.713431, 5760.267178
248.020473, 355.246322, 0.002164, 0.010008, 2.596733, 322.996622, 4834.202047, 139.586761, 5995.870988
248.020473, 369.456174, 0.001381, 0.009442, 2.977357, 314.762323, 4834.202047, 137.604104, 6231.613089
248.020473, 383.666027, 0.000623, 0.008914, 3.435324, 306.805645, 4834.202047, 135.754085, 6467.482558
248.020473, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 6703.711029
248.020473, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 6941.357019
248.020473, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 7179.003010
248.020473, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 7416.649000
248.020473, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 7654.294990
248.020473, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 7891.940981
248.020473, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 8129.586971
248.020473, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 8367.232961
248.020473, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 8604.878952
248.020473, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 8842.524942
248.020473, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 4834.202047, 134.277919, 9080.170932
254.634352, 269.987204, 0.008531, 0.015452, 1.025202, 389.891635, 5095.463811, 158.653930, 4588.304707
254.634352, 284.197057, 0.007601, 0.014551, 1.167292, 380.118635, 5095.463811, 155.497330, 4822.919504
254.634352, 298.406910, 0.006695, 0.013711, 1.323437, 370.601021, 5095.463811, 152.557053, 5057.742029
254.634352, 312.616763, 0.005814, 0.012929, 1.496354, 361.344774, 5095.463811, 149.816712, 5292.756548
254.634352, 326.826616, 0.004958, 0.012199, 1.689433, 352.352974, 5095.463811, 147.261093, 5527.948450
254.634352, 341.036469, 0.004128, 0.011518, 1.906961, 343.626344, 5095.463811, 144.876115, 5763.304214
254.634352, 355.246322, 0.003322, 0.010882, 2.154451, 335.163705, 5095.463811, 142.648780, 5998.811357
254.634352, 369.456174, 0.002542, 0.010288, 2.439133, 326.962363, 5095.463811, 140.567109, 6234.458379
254.634352, 383.666027, 0.001786, 0.009732, 2.770679, 319.018424, 5095.463811, 138.620083, 6470.234695
254.634352, 397.875880, 0.001054, 0.009212, 3.162348, 311.327060, 5095.463811, 136.797570, 6706.130578
254.634352, 412.085733, 0.000345, 0.008724, 3.632826, 303.882726, 5095.463811, 135.090262, 6942.137089
254.634352, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 7179.003010
254.634352, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 7416.649000
254.634352, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 7654.294990
254.634352, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 5095.463811, 134.277919, 7891.940981
